KODE_KEL_BRG;URAIAN_KEL_BRG;ID_ SSH;KODE_ BARANG;URAIAN_BARANG;SPESIFIKASI;SATUAN;HARGA_SATUAN
1.1.12.01.01.0002;Bahan Kimia;7295848;1.1.12.01.01.0002.00039;Chloride/Khlorida Test;Chloride/Khlorida Test;Sampel;730000
1.1.12.01.01.0002;Bahan Kimia;7295847;1.1.12.01.01.0002.00038;Hardness/Kesadahan Test;Hardness/Kesadahan Test;Sampel;195000
1.1.12.01.01.0002;Bahan Kimia;7295846;1.1.12.01.01.0002.00037;Nitrate/Nitrat Test (NO3);Nitrate/Nitrat Test (NO3);Sampel;258000
1.1.12.01.01.0002;Bahan Kimia;7295845;1.1.12.01.01.0002.00036;Fluoride/FLuorida Test;Fluoride/FLuorida Test;Sampel;2100000
1.1.12.01.01.0002;Bahan Kimia;7295844;1.1.12.01.01.0002.00035;Tabung O2;Tabung O2;Set;2700000
1.1.12.01.01.0002;Bahan Kimia;7295843;1.1.12.01.01.0002.00034;Reagen Urid Acid;Reagen Urid Acid;Kit;4380500
1.1.12.01.01.0002;Bahan Kimia;7295842;1.1.12.01.01.0002.00033;Reagen Urid Acid Standart;Reagen Urid Acid Standart;Kit;256000
1.1.12.01.01.0002;Bahan Kimia;7295841;1.1.12.01.01.0002.00032;Kasa Perban;Kasa Perban;Pak;12100
1.1.12.01.01.0002;Bahan Kimia;7295840;1.1.12.01.01.0002.00031;Reagen Rapid Tes Dengue Duo;Reagen Rapid Tes Dengue Duo;Box;1834250
1.1.12.01.01.0002;Bahan Kimia;7295839;1.1.12.01.01.0002.00030;Reagen Syphilis 3.0 Device 100 Test;Reagen Syphilis 3.0 Device 100 Test;Boks;725000
1.1.12.01.01.0002;Bahan Kimia;7295838;1.1.12.01.01.0002.00029;Reagen HIV-1/2 3.0 Device 100 Test;Reagen HIV-1/2 3.0 Device 100 Test;Boks;1072217
1.1.12.01.01.0002;Bahan Kimia;7295837;1.1.12.01.01.0002.00028;Reagen HIV-1/2 3.0 Device 30 Test;Reagen HIV-1/2 3.0 Device 30 Test;Boks;860000
1.1.12.01.01.0002;Bahan Kimia;7295836;1.1.12.01.01.0002.00027;Reagen HIV-1/2 Determine HIV 100 Test;Reagen HIV-1/2 Determine HIV 100 Test;Boks;2378929
1.1.12.01.01.0002;Bahan Kimia;7295835;1.1.12.01.01.0002.00026;Reagen Syphilis;Reagen Syphilis;Boks;465000
1.1.12.01.01.0002;Bahan Kimia;7295834;1.1.12.01.01.0002.00025;Reagen HIV Combo 20 Test;Reagen HIV Combo 20 Test;Boks;430000
1.1.12.01.01.0002;Bahan Kimia;7295833;1.1.12.01.01.0002.00024;Reagen Rapid Test Untuk Hepatitis B;Reagen Rapid Test Untuk Hepatitis B;Buah;11360
1.1.12.01.01.0002;Bahan Kimia;7295832;1.1.12.01.01.0002.00023;Alkohol swab;Alkohol swab;Dos;21200
1.1.12.01.01.0002;Bahan Kimia;7295831;1.1.12.01.01.0002.00022;Hansaplas;Hansaplas;Buah;12800
1.1.12.01.01.0002;Bahan Kimia;7295830;1.1.12.01.01.0002.00021;PME (Pemantau Mutu External);PME (Pemantau Mutu External);Paket;15900000
1.1.12.01.01.0002;Bahan Kimia;7295829;1.1.12.01.01.0002.00020;Hand sanitizer Softaman;Hand sanitizer Softaman;Botol;151100
1.1.12.01.01.0002;Bahan Kimia;7295828;1.1.12.01.01.0002.00019;Trigliserida Standart;Trigliserida Standart;Kit;167500
1.1.12.01.01.0002;Bahan Kimia;7295826;1.1.12.01.01.0002.00017;ABX MinitRoll;ABX MinitRoll;Botol;1108000
1.1.12.01.01.0002;Bahan Kimia;7295825;1.1.12.01.01.0002.00016;PME Laboratorium;PME Laboratorium;Paket;3975000
1.1.12.01.01.0002;Bahan Kimia;7295824;1.1.12.01.01.0002.00015;Plesterin;Plesterin;Box;79500
1.1.12.01.01.0002;Bahan Kimia;7295823;1.1.12.01.01.0002.00014;Salmonella CasSette;Salmonella CasSette;Box;2997200
1.1.12.01.01.0002;Bahan Kimia;7295822;1.1.12.01.01.0002.00013;Standar CholesteRoll;Standar CholesteRoll;Vial;337100
1.1.12.01.01.0002;Bahan Kimia;7295821;1.1.12.01.01.0002.00012;Standar Glukosa;Standar Glukosa;Vial;155100
1.1.12.01.01.0002;Bahan Kimia;7295820;1.1.12.01.01.0002.00011;Reagent CholesteRoll;Reagent CholesteRoll;Box;1496200
1.1.12.01.01.0002;Bahan Kimia;7295819;1.1.12.01.01.0002.00010;Reagent Glukosa;Reagent Glukosa;Box;2044300
1.1.12.01.01.0002;Bahan Kimia;7295818;1.1.12.01.01.0002.00009;Multivitamin;Multivitamin 100 ml;Botol;277600
1.1.12.01.01.0002;Bahan Kimia;7295817;1.1.12.01.01.0002.00008;Paket percontohan (PHBS);Paket percontohan (PHBS);Paket;88000
1.1.12.01.01.0002;Bahan Kimia;7295816;1.1.12.01.01.0002.00007;Reagen 1 Rapid tes HIV;Reagen 1 Rapid tes HIV;Paket;119300
1.1.12.01.01.0002;Bahan Kimia;7295815;1.1.12.01.01.0002.00006;Themephos;Themephos;Kg;123050
1.1.12.01.01.0002;Bahan Kimia;7559432;1.1.12.01.01.0002.00055;hand sanitizer 500 ml;hand sanitizer 500 ml;Botol;75000
1.1.12.01.01.0002;Bahan Kimia;7559430;1.1.12.01.01.0002.00054;hand sanitizer 250 ml;hand sanitizer 250 ml;Botol;50000
1.1.12.01.01.0002;Bahan Kimia;7294672;1.1.12.01.01.0002.00005;H2O2 3%;H2O2 3%,;Buah;165400
1.1.12.01.01.0002;Bahan Kimia;7295861;1.1.12.01.01.0002.00052;Iodine test;Iodine test 10 ml;Botol;46000
1.1.12.01.01.0002;Bahan Kimia;7295860;1.1.12.01.01.0002.00051;Reagen HIV-1/2 Determine Syphilis 100 Test;Reagen HIV-1/2 Determine Syphilis 100 Test;Boks;1240112
1.1.12.01.01.0002;Bahan Kimia;7294671;1.1.12.01.01.0002.00004;MinitRoll twin Pack;MinitRoll twin Pack,;Botol;954000
1.1.12.01.01.0002;Bahan Kimia;7294650;1.1.12.01.01.0002.00003;Magnesium Carbonate 500 gr;Magnesium Carbonate 500 gr;Per Bungkus;74800
1.1.12.01.01.0002;Bahan Kimia;7294649;1.1.12.01.01.0002.00002;Baking Soda (Natrium Bikarbonat);Baking Soda (Natrium Bikarbonat);Kg;75000
1.1.12.01.01.0002;Bahan Kimia;7294648;1.1.12.01.01.0002.00001;KaLsium hidroksida;KaLsium hidroksida;Box;371000
1.1.12.01.01.0002;Bahan Kimia;7295859;1.1.12.01.01.0002.00050;Reagen HIV Combo 100 Test;Reagen HIV Combo 100 Test;Boks;3019437
1.1.12.01.01.0002;Bahan Kimia;7295858;1.1.12.01.01.0002.00049;TCM TB;TCM TB;Buah;259175
1.1.12.01.01.0002;Bahan Kimia;7295857;1.1.12.01.01.0002.00048;Reagen Malaria Ag P.F/Pan;Reagen Malaria Ag P.F/Pan;Boks;346449
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294679;1.1.12.01.01.0004.00007;Minyak pelumas;Minyak pelumas;Liter;85200
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294678;1.1.12.01.01.0004.00006;Minyak rem;Minyak rem, 350 ml;Botol;40000
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294677;1.1.12.01.01.0004.00005;Grease/Gemuk/stempet;Grease/Gemuk/stempet;Kg;31500
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294688;1.1.12.01.01.0004.00016;Olie Samping SAE 10;Olie Samping SAE 10;Liter;40900
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294676;1.1.12.01.01.0004.00004;Oli transmisi;Oli transmisi;Liter;66500
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294675;1.1.12.01.01.0004.00003;Oli HidRollik;Oli HidRollik;Liter;57200
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294674;1.1.12.01.01.0004.00002;Bahan Bakar Minyak dan Pelumas Alat-alat Berat - bensin;Bahan Bakar Minyak dan Pelumas Alat-alat Berat - bensin;Liter;9300
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294685;1.1.12.01.01.0004.00013;Oli federal fully syn 10/40;Oli federal fully syn 10/40;Botol;90100
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294684;1.1.12.01.01.0004.00012;Oli federal fully syn 10/40;Oli federal fully syn 10/40;Galon;355100
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7558499;1.1.12.01.01.0004.00021;Minyak Nabati;Bauer Mineral N22138-1;Botol;1036036,036
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294673;1.1.12.01.01.0004.00001;Spuit 0,05 ml;Spuit 0,05 ml;Box;341900
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294683;1.1.12.01.01.0004.00011;Minyak rem;Minyak rem;Botol;40000
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294682;1.1.12.01.01.0004.00010;Oli SAE 40;Oli SAE 40;Liter;66500
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294681;1.1.12.01.01.0004.00009;Olie mesin (Mesran 40 SAE);Olie mesin (Mesran 40 SAE);Liter;66500
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294680;1.1.12.01.01.0004.00008;Oli;Oli;Liter;66500
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294687;1.1.12.01.01.0004.00015;Olie Mesin SAE 20.50;Olie Mesin SAE 20.50;Liter;40900
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7294686;1.1.12.01.01.0004.00014;Olie Diesel 4 Liter;Olie Diesel 4 Liter;Botol;128300
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7489128;1.1.12.01.01.0004.00020;Pertamax Turbo;Pertamax Turbo;Liter;14500
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7489127;1.1.12.01.01.0004.00019;Pertamina Dex;Pertamina Dex;Liter;13700
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7489126;1.1.12.01.01.0004.00018;Pertamax;Pertamax;Liter;12500
1.1.12.01.01.0004;Bahan Bakar dan Pelumas;7489125;1.1.12.01.01.0004.00017;Pertalite;Pertalite;Liter;7650
1.1.12.01.01.0005;Bahan Baku;7294714;1.1.12.01.01.0005.00013;Rel Box Panel;Rel Box Panel;Buah;29800
1.1.12.01.01.0005;Bahan Baku;7294706;1.1.12.01.01.0005.00005;MCCB 60 - 100 A 3 phase;MCCB 60 - 100 A 3 phase;Unit;874500
1.1.12.01.01.0005;Bahan Baku;7294705;1.1.12.01.01.0005.00004;MCB 3 phase;MCB 3 phase;Unit;618000
1.1.12.01.01.0005;Bahan Baku;7294704;1.1.12.01.01.0005.00003;Water Level ContRoll;Water Level ContRoll;Unit;756500
1.1.12.01.01.0005;Bahan Baku;7294703;1.1.12.01.01.0005.00002;Magnetik Kontaktor 25A;Magnetik Kontaktor 25A;Buah;726000
1.1.12.01.01.0005;Bahan Baku;7294702;1.1.12.01.01.0005.00001;Klem universal;Klem universal;Buah;46200
1.1.12.01.01.0005;Bahan Baku;7294722;1.1.12.01.01.0005.00021;Tabung Co2;CO2 with regulator tabung gas selenoid untuk tabung Aquascape;Unit;1735000
1.1.12.01.01.0005;Bahan Baku;7294721;1.1.12.01.01.0005.00020;Cornice Adhesive/Lem Gipsum;Cornice Adhesive/Lem Gipsum;Kg;7500
1.1.12.01.01.0005;Bahan Baku;7294717;1.1.12.01.01.0005.00016;Packing Karet;Packing Karet;Buah;145800
1.1.12.01.01.0005;Bahan Baku;7294716;1.1.12.01.01.0005.00015;tabung freon R410 sedang;tabung freon R410 sedang;Unit;3033800
1.1.12.01.01.0005;Bahan Baku;7294715;1.1.12.01.01.0005.00014;Selang Bakar Penyambung Kabel Ukuran 2.0x40mm;Selang Bakar Penyambung Kabel Ukuran 2.0x40mm;Pack;26500
1.1.12.01.01.0005;Bahan Baku;7294707;1.1.12.01.01.0005.00006;MCCB 3P 80 A 18 KA (380V) (EZC 100N,SCHNEIDER);MCCB 3P 80 A 18 KA (380V) (EZC 100N,SCHNEIDER);Buah;1152500
1.1.12.01.01.0005;Bahan Baku;7294713;1.1.12.01.01.0005.00012;Ampere Meter Analog Panel Ampere Meter Analog Panel;Ampere Meter Analog Panel Ampere Meter Analog Panel;Buah;206900
1.1.12.01.01.0005;Bahan Baku;7294712;1.1.12.01.01.0005.00011;Safety Jacket Electric;Safety Jacket Electric;Buah;1910200
1.1.12.01.01.0005;Bahan Baku;7294711;1.1.12.01.01.0005.00010;Senter (Lampu Led),;Senter (Lampu Led),;Buah;418500
1.1.12.01.01.0005;Bahan Baku;7294710;1.1.12.01.01.0005.00009;Safety Waist Bag Electric _;Safety Waist Bag Electric _;Buah;618000
1.1.12.01.01.0005;Bahan Baku;7294709;1.1.12.01.01.0005.00008;Safety Eye Protection Electric;Safety Eye Protection Electric;Buah;618000
1.1.12.01.01.0005;Bahan Baku;7294708;1.1.12.01.01.0005.00007;Mata pisau potong rumput gendong;Mata pisau potong rumput gendong;Buah;121900
1.1.12.01.01.0005;Bahan Baku;7294720;1.1.12.01.01.0005.00019;No Drop;No Drop;Galon;200000
1.1.12.01.01.0005;Bahan Baku;7294719;1.1.12.01.01.0005.00018;Talang Plastik Biasa, 90 cm;Talang Plastik Biasa, 90 cm;Buah;21400
1.1.12.01.01.0005;Bahan Baku;7294718;1.1.12.01.01.0005.00017;Sparepart - Handle Mesin Polisher Atas Naik Turun Handle Atas Tabung;Sparepart - Handle Mesin Polisher Atas Naik Turun Handle Atas Tabung;Buah;293200
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296042;1.1.12.01.01.0008.00076;Bunga Krisan;Bunga Krisan;Pot;45000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296040;1.1.12.01.01.0008.00074;Bunga / Tanaman Hias;Bunga / Tanaman Hias;Buah;200000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296039;1.1.12.01.01.0008.00073;Tanaman Miana/Ingler;Tanaman Miana/Ingler;Batang;16500
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296038;1.1.12.01.01.0008.00072;Tanaman Pentas;Tanaman Pentas;Batang;20000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296037;1.1.12.01.01.0008.00071;Ararea (kecil);Ararea (kecil), Diameter 20 cm;Pot;9600
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296036;1.1.12.01.01.0008.00070;Benih Terong bersertifikat;"Benih Terong, - Kemurnian 95%, daya tumbuh 85%, bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;63600
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296035;1.1.12.01.01.0008.00069;Jahe Gajah;Jahe Gajah;Kg;53000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296034;1.1.12.01.01.0008.00068;Sawi Manis;"Sawi Manis, - Kemurnian 95%, daya tumbuh 85%, bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;26500
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294651;1.1.12.01.01.0008.00001;Pestisida;Pestisida;Paket;7865200
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294652;1.1.12.01.01.0008.00002;Fungisida;Fungisida;Paket;28090000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294653;1.1.12.01.01.0008.00003;Pestisida Nabati Bentuk cairan (emuLsi);"Pestisida Nabati Bentuk cairan (emuLsi); Warna putih kelabu kehijauan; Bahan aktif : mimba dan gadung; Segar menyengat";Liter;137100
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294654;1.1.12.01.01.0008.00004;Enzymatic Detergent Desinfection;Enzymatic Detergent Desinfection;Galon;1364300
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294655;1.1.12.01.01.0008.00005;Pestisida nabati, bentuk cairan, extrak biji mimba, mengandung bahan aktif > 0,8 % berupa azadirachtin dan bahan lainnya;Pestisida nabati, bentuk cairan, extrak biji mimba, mengandung bahan aktif > 0,8 % berupa azadirachtin dan bahan lainnya;Liter;159800
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294656;1.1.12.01.01.0008.00006;Sanosil S 010;Sanosil S 010 5 liter;Jerigen;5888000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294657;1.1.12.01.01.0008.00007;Sanoclean AR;Sanoclean AR 5 liter;Jerigen;5750000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294658;1.1.12.01.01.0008.00008;Disinfektan ukuran 1 liter;Disinfektan ukuran 1 liter;Botol;820000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294659;1.1.12.01.01.0008.00009;Hand Sanitazer 250 ml;Hand Sanitazer 250 ml;Botol;50000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294660;1.1.12.01.01.0008.00010;Hand Sanitazer 500 ml;Hand Sanitazer 500 ml;Botol;75000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294661;1.1.12.01.01.0008.00011;Hand Sanitazer 1000 ml;Hand Sanitazer 1000 ml;Botol;100000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294662;1.1.12.01.01.0008.00012;Hand Sanitazer 5000 ml;Hand Sanitazer 5000 ml;Botol;450000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294663;1.1.12.01.01.0008.00013;Hand Sanitazer;Hand Sanitazer;Botol;100000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294664;1.1.12.01.01.0008.00014;Fumigasi;Fumigasi;M3;85400
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294665;1.1.12.01.01.0008.00015;Molase;Molase;Botol;20000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294666;1.1.12.01.01.0008.00016;Disinfektan Ukuran 5 Liter;Disinfektan Ukuran 5 Liter;Jerigen;1710000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294667;1.1.12.01.01.0008.00017;Alkohol 70%;Alkohol 70%;Botol;36000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294668;1.1.12.01.01.0008.00018;desinfektan;desinfektan;Liter;60500
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294669;1.1.12.01.01.0008.00019;Handsanitizer Reffil 500 ml;Handsanitizer Reffil 500 ml;Botol;40000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294670;1.1.12.01.01.0008.00020;Handsanitizer Kemasan Pump 500 ml;Handsanitizer Kemasan Pump 500 ml;Botol;45000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294723;1.1.12.01.01.0008.00021;Nutrisi Abemix cair jenis A ukuran 1 liter;Nutrisi Abemix cair jenis A ukuran 1 liter;Liter;50000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294724;1.1.12.01.01.0008.00022;Nutrisi Abemix cair jenis B ukuran 1 liter;Nutrisi Abemix cair jenis B ukuran 1 liter;Liter;50000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294725;1.1.12.01.01.0008.00023;Bibit Kentang Granola Kembang;Bibit Kentang Granola Kembang;Kg;38800
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294726;1.1.12.01.01.0008.00024;Benih sawi daging , kemurnian 98%, daya tumbuh 80%,;Benih sawi daging , kemurnian 98%, daya tumbuh 80%;Sachet;26500
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294727;1.1.12.01.01.0008.00025;Benih Seledri, Varietas Hibrida F1, daya kecambah 80%, tingkat kemurnian 98%;Benih Seledri, Varietas Hibrida F1, daya kecambah 80%, tingkat kemurnian 98%;Sachet;53000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294728;1.1.12.01.01.0008.00026;Benih Terong Ungu;Benih Terong Ungu;Sachet;48800
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294729;1.1.12.01.01.0008.00027;Anggrek Vanda;Anggrek Vanda;Pot;170000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294730;1.1.12.01.01.0008.00028;Benih Padi Hibrida;Benih Padi Mapan;Kg;137500
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294731;1.1.12.01.01.0008.00029;Bibit Apel Manalagi Produksi Petani;Bibit Apel Manalagi Produksi Petani;Batang Pohon;35000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294732;1.1.12.01.01.0008.00030;Jagung Hibrida;Jagung Hibrida Bisi;Kg;80000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294733;1.1.12.01.01.0008.00031;Sekam Mentah;Sekam mentah kulit padi;Zak;28000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294734;1.1.12.01.01.0008.00032;Bibit Jambu Merah;Bibit Jambu Merah;Batang;400000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294735;1.1.12.01.01.0008.00033;Rumput Vertifer;Rumput;Pot;35000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294736;1.1.12.01.01.0008.00034;Benih Bawang Merah;Benih Bawang Merah Biji;Sachet;155000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294737;1.1.12.01.01.0008.00035;Benih Bawang Merah;Benih Bawang Merah Varietas Tajuk;Kg;55000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294738;1.1.12.01.01.0008.00036;Benih Tomat Cherry Merah;"Benih Tomat Cherry Merah, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;78500
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294739;1.1.12.01.01.0008.00037;Benih Tomat Buah;"Benih Tomat Buah, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;213100
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294740;1.1.12.01.01.0008.00038;Benih Sawi Pahit;"Benih Sawi Pahit, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;47700
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294741;1.1.12.01.01.0008.00039;Benih Sawi Keriting;"Benih Sawi Keriting, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;47700
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294742;1.1.12.01.01.0008.00040;Benih Selada Siomak;"Benih Selada Siomak, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;45600
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294743;1.1.12.01.01.0008.00041;Benih Tomat Cherry Kuning;"Benih Tomat Cherry Kuning, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;78500
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294744;1.1.12.01.01.0008.00042;Benih Beet Root/Bit;"Benih Beet Root / Bit Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;137800
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294745;1.1.12.01.01.0008.00043;Benih Brokoli (Super);"Benih Brokoli (Super) kualitas premium Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;177100
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294746;1.1.12.01.01.0008.00044;Benih Buncis;"Benih Buncis, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;74200
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294747;1.1.12.01.01.0008.00045;Benih Brungkul/Bunga Kol;"Benih Brungkul / Bunga Kol Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;135200
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294748;1.1.12.01.01.0008.00046;Benih Horenzo;Benih Horenzo;Kaleng;253400
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294749;1.1.12.01.01.0008.00047;Benih Jagung Manis;"Benih Jagung Manis, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;137800
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294750;1.1.12.01.01.0008.00048;Benih Kale Nero;"Benih Kale Nero, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;45600
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294751;1.1.12.01.01.0008.00049;Benih Kale Curly;"Benih Kale Curly, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;45600
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294752;1.1.12.01.01.0008.00050;Benih Lettuce;"Benih Lettuce, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;53000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294753;1.1.12.01.01.0008.00051;Benih Lolorosa;"Benih Lolorosa, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;56200
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7294754;1.1.12.01.01.0008.00052;Benih Mint;"Benih Mint, Kemurnian 95% daya tumbuh 85% bersertifikat; - Tidak kadaluarsa selama 6 bulan Setelah barang diteRima";Sachet;37100
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296380;1.1.12.01.01.0008.00097;Sambang darah varigata;Sambang darah varigata;Pot;22500
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296379;1.1.12.01.01.0008.00096;Asoka jepang;Asoka jepang;Buah;30000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296378;1.1.12.01.01.0008.00095;Yolanda;Yolanda;Buah;27500
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296377;1.1.12.01.01.0008.00094;Tanduk rusa;Tanduk rusa;Pcs;60000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296376;1.1.12.01.01.0008.00093;Lamtana;Lamtana;Pcs;25000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296375;1.1.12.01.01.0008.00092;Ekor tupai mini;Ekor tupai mini;Pcs;30000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296374;1.1.12.01.01.0008.00091;Sansivera;Sansivera;Pot;30000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296373;1.1.12.01.01.0008.00090;Tanaman Hias Kalatea Batik;Tanaman Hias Kalatea Batik;Pot;40000
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296372;1.1.12.01.01.0008.00089;Bougenvile;tanaman hias;Unit;100900
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296371;1.1.12.01.01.0008.00088;Bromelia Merah;Bromelia Merah;Pot;67500
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296370;1.1.12.01.01.0008.00087;Rumput Golf lempengan (m2);Rumput Golf lempengan (m2);Buah;29200
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296369;1.1.12.01.01.0008.00086;Anggrek Dendrobium;Anggrek Dendrobium;Buah;40300
1.1.12.01.01.0008;Bahan/Bibit Tanaman;7296368;1.1.12.01.01.0008.00085;Anggrek bulan;Anggrek bulan;Buah;107100
